,Source,Propaganda text,Type
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",The Company You Keep,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/rampage/movieshow/61934323.cms,Rampage,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Before Sunset,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/sword-art-online-progressive-aria-of-a-starless-night/movieshow/89728486.cms,Sword Art Online: Progressive - Aria Of A Starless Night,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-personal-history-of-david-copperfield/movieshow/74727934.cms,The Personal History Of David Copperfield,Non propaganda
,https://stacker.com/history/famous-propaganda-posters-last-100-years,Rosie the Riveter,propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Be A Marine...Free A Marine To Fight,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/and-then-i-go/movieshow/61283960.cms,And Then I Go,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/breaking-news-in-yuba-county/movieshow/80501428.cms,Breaking News In Yuba County,Non propaganda
,https://posteritati.com/genre/documentary?page=6,A Composer's Notes: Philip Glass and the Making of an Opera,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Corn: The Food of the Nation,propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/teresa-had-a-dream/movieshow/94322283.cms,Teresa Had A Dream,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/the-incredibles-2/movieshow/61934457.cms,The Incredibles 2,Non propaganda
,https://www.imdb.com/title/tt9881452/?ref_=fn_tt_tt_19,Ricky Gervais Live 2: Politics,Non propaganda
,https://www.imdb.com/title/tt1748888/?ref_=fn_tt_tt_1,Ranking Every Horrible Histories Song,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/anna-karenina-vronskys-story/movieshow/61931734.cms,Anna Karenina: Vronsky's Story,Non propaganda
,https://posteritati.com/genre/documentary?page=5,Divine Madness,Non propaganda
,"https://www.imdb.com/list/ls021389931/?sort=list_order,asc&st_dt=&mode=detail&page=2",The Lucky One,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search,1914,propaganda
,"https://www.imdb.com/chart/top-english-movies?sort=nv,desc&mode=simple&page=1",One Flew Over the Cuckoo's Nest,Non propaganda
,https://wargaming.com/en/news/world_war_propaganda_posters/,Manchukuo (Japanese),propaganda
,https://www.imdb.com/title/tt25932636/?ref_=fn_tt_tt_27,Daily Politics,Non propaganda
,https://www.imdb.com/title/tt27079570/?ref_=fn_tt_tt_128,Macbeth I: The Politics of Power,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/shang-chi-and-the-legend-of-the-ten-rings/movieshow/83567673.cms,Shang-Chi And The Legend Of The Ten Rings,Non propaganda
,"https://www.imdb.com/chart/tvmeter?sort=rk,asc&mode=simple&page=1",The Flash,Non propaganda
,https://www.imdb.com/title/tt1279161/?ref_=fn_tt_tt_17,Bedtime Stories,Non propaganda
,https://timesofindia.indiatimes.com/entertainment/english/movie-details/avengers-endgame/movieshow/66996680.cms,Avengers: Endgame,Non propaganda
,https://content.libraries.wsu.edu/digital/collection/propaganda/search/searchterm/war%20posters%2C%20canadian/field/subjec/mode/exact/conn/and,Do You Know The Difference?,propaganda
,https://posteritati.com/genre/documentary?page=9,Kashima Paradise,Non propaganda
